id,name,description,category
4573102587411,HELLO KITTY FIGURA 6 CM HELLO KITTY 45TH ANNIVERSARY CHOGOKIN,"<div class=""pull-left w100 text-justify well well-lg text-primary""><span id=""ctl00_MainContent_txtSinpsis"">Tamashii Nations presenta a Hello Kitty dentro de su línea de robots Chogokin, para conmemorar su 45 aniversario. Mide unos 6 cm de alto e incluye una botella de leche, una pecera y un display especial para exponer la figura.</span></div>","[""Manga y Anime > Dr. Slump - Arale > Figuras"",""Manga y Anime > Dragon Ball > Figuras"",""Manga y Anime > Fullmetal Alchemist > Figuras"",""Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras"",""Manga y Anime > My Hero Academia > Figuras"",""Manga y Anime > Naruto > Figuras"",""Manga y Anime > One Piece > Figuras"",""Fabricantes / Marcas > Tamashii Nations""]"
4580122819804,KEN KANEKI VER. DESPERTADO FIGURA 16 CM TOKYO GHOUL,"<div class=""pull-left w100 text-justify well well-lg text-primary""><span id=""ctl00_MainContent_txtSinpsis"">Figura de 16 cm del personaje de Ken Kaneki en su versión despertado, basada en la serie de manga escrita e ilustrada por Sui Ishida ""Tokyo Ghoul"". Es una figura articulada pintada e incluye un soporte para exposición.</span><span id=""ctl00_MainContent_txtEditorial""> Good Smile Company. </span></div>","[""Manga y Anime > Dr. Slump - Arale > Figuras"",""Manga y Anime > Dragon Ball > Figuras"",""Manga y Anime > Fullmetal Alchemist > Figuras"",""Fabricantes / Marcas > Good Smile"",""Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras"",""Manga y Anime > My Hero Academia > Figuras"",""Manga y Anime > Naruto > Figuras"",""Manga y Anime > One Piece > Figuras""]"
4573488976984,ROHAN KISHIBE &amp; HEAVENS DOOR FIG 15-6.5 CM JOJO'S BIZARRE ADVENTURE P4 CHOZO KADO,"<div class=""pull-left w100 text-justify well well-lg text-primary""><span id=""ctl00_MainContent_txtSinpsis"">Good Smile Company lanza la figura Chozo Kado de Rohan Kishibe y de Heaven's Door del anime ""Jojo's Bizarre Adventure Part 4: Diamond is Unbreakable"". Se trata de dos figuras articuladas hechas en PVC que miden unos 15 cm de alto en el caso de Rohan y 6.5 cm de alto en el caso de Heaven's Doo. Incluyen varias manos intercambiables para ambos, un dibujo hecho a mano, un cuaderno de bocetos, una pluma, una máquina de fotos y una base soporte para su exposición.</span></div>","[""Manga y Anime"",""Manga y Anime > Dr. Slump - Arale > Figuras"",""Manga y Anime > Dragon Ball > Figuras"",""Manga y Anime > Fullmetal Alchemist > Figuras"",""Fabricantes / Marcas > Good Smile"",""Manga y Anime > JOJO'S BIZARRE ADVENTURE"",""Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras"",""Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras"",""Manga y Anime > My Hero Academia > Figuras"",""Manga y Anime > Naruto > Figuras"",""Manga y Anime > One Piece > Figuras""]"
4005556268573,"
DISNEY VILLAINOUS: WICKED TO THE CORE
","¿Qué Villano quieres ser? En esta épica lucha de poderes malignos, asumirás el papel de un Villano Disney y tendrás que tratar de alcanzar tu propio objetivo maquiavélico. Descubre las habilidades únicas de tu personaje y su estrategia ganadora, aprovechando al mismo tiempo los giros del destino para frustrar los planes de tus oponentes. ¿Quién triunfará sobre las fuerzas del bien y se hará con la victoria? Disney Villainous es un divertido juego de mesa para familias y jugadores. Es un juego de estrategia ligera para hasta 6 jugadores. En la caja encontrarás 6 tableros, 6 villanos Movers, 180 tarjetas de villano, 90 tarjetas de destino, 84 fichas, 1 caldera, 6 tarjetas de referencia, 6 guías de villano e instrucciones 3 NUEVOS VILLANOS DISNEY: HADES, EL DOCTOR FACILIER Y LA REINA. No te pierdas este juego de mesa.","[""Cine y Televisión > Disney"",""Funko Pop > Disney"",""Juegos de mesa""]"
8436017228694,CATAN LA LEYENDA DE LOS CONQUISTADORES,Expansión del juego de mesa Catán.,"[""Juegos de mesa""]"
8436017220100,CATAN,"Catán es un juego de mesa para toda la familia que se ha convertido en un fenómeno mundial. Desde su aparición en Alemania ha vendido más que muchos de los juegos más tradicionales. Se trata de un juego que aúna la estrategia, la astucia y la capacidad para negociar y en el que los jugadores tratan de colonizar una isla, Catán, rica en recursos naturales. Construyendo pueblos, estableciendo rutas comerciales, etc… Colonos de Catán ha vendido más de 2 millones de ejemplares en Europa y América. Por si esto no fuera bastante, ha sido galardonado en Alemania y Estados Unidos como Juego del Año. El juego básico de Catán, a la vente hace más de 10 años en España y que ha marcado un hito en toda Europa en cuanto a juego de planificación, colaboración y, por supuesto, diversión. No hace falta comentar que es la única pieza indispensable de Catán en tu ludoteca. A partir del básico se abre todo el abanico de expansiones que la isla de Catán te ofrece. ","[""Juegos de mesa""]"
8436564811486,Amigos de Mierda,"ERES UN FALSO ¡Pero te vamos a ayudar! En Amigos de Mierda vas a poder decirle a tus amigos lo que siempre pensaste de ellos y nunca te atreviste a decirles.

En cada turno se saca una carta y se lee en voz alta. Todos votan la respuesta entre los que están jugando. El que tenga más votos gana la carta y el primero en ganar cinco cartas es coronado como un «Amigo de mierda».",[]
8436017225204,EXIT: EL LABORATORIO SECRETO,"Os habéis presentado como sujetos para participar en un ensayo clínico, pero al llegar al laboratorio a la hora convenida, os dais cuenta de que no hay nadie más. De repente, un gas empieza a emanar de una probeta y os empezáis a marear. Cuando recuperáis la conciencia la puerta está cerrada.

Encima de una mesa veis un cuaderno y un curioso disco, que antes no estaban ahí...

Este juego solo se puede jugar una vez, ya que puede que tengas que tachar, doblar o rasgar los componentes que se incluyen.",[]
8436017226737,EXIT: LA ESTACION POLAR," ¡Llegan los tres nuevos Exit, la saga de Escape Rooms de mesa más premiada del mercado! La Estación Polar debería haberse evacuado a tiempo, pero un contratiempo os ha hecho quedar atrás, atrapados. Será mejor que os deis prisa en encontrar el código o podréis sufrir trágicas consecuencias. Una nuev... ",[]
0748252980618,VITICULTURE,"Te encuentras en la Toscana rústica y premoderna, donde acabas de heredar un pequeño viñedo. Tienes en tu poder unas parcelas de tierra, un viejo lagar, un almacén, tres trabajadores… y un sueño: ¡construir la mayor bodega de toda Italia!

En este juego de mesa tu trabajo consistirá en distribuir a tus trabajadores y a los valiosos visitantes para completar una serie de tareas a lo largo del año. En un viñedo, cada estación es diferente, así que los trabajadores tendrán que ocuparse de tareas distintas en invierno y en verano. La competencia en estas tareas es feroz y, a menudo, el primer trabajador en realizar cada una de ellas tendrá ventaja sobre el resto. Por suerte para los jugadores, a la gente le encanta visitar los viñedos, y además algunos de esos visitantes ofrecen su ayuda mientras están de visita, siempre y cuando les asignes un trabajador que les indique cómo hacer las cosas. Las visitas (en forma de cartas), son cortas pero muy provechosas.

Mediante tus trabajadores y los visitantes, podrás expandir tu viñedo construyendo estructuras, plantando vides y completando pedidos de vino, mientras que trabajas para conseguir tu objetivo de convertirte en la bodega más exitosa de toda la Toscana.

Viticulture: Edición Esencial es un juego estratégico basado en la colocación de trabajadores que permite a los jugadores crear su propio viñedo en cualquier sitio, con solo una mesa y en compañía de buenos amigos. Esta edición es una versión más robusta que combina la segunda edición del Viticulture con algunos elementos de la expansión Tuscany (cartas de Mamá y Papá, propiedades, visitantes nuevos y rediseñados y un Automa para partidas en solitario), y en la que ha colaborado el diseñador Uwe Rosenberg.","[""Juegos de mesa""]"
