code,categories
Barcode,
4580122819804,"Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Fabricantes / Marcas > Good Smile,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
4573488976984,"Manga y Anime,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Fabricantes / Marcas > Good Smile,Manga y Anime > JOJO'S BIZARRE ADVENTURE,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
4005556268573,"Cine y Televisión > Disney,Funko Pop > Disney,Juegos de mesa"
8436017228694,Juegos de mesa
8436017220100,Juegos de mesa
8436564811486,
8436017225204,
8436017226737,
0748252980618,Juegos de mesa
4002558391155,Juegos de mesa
5010993788088,
5060520580968,"Cine y Televisión,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Cine y Televisión > Harry Potter,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
4006333062797,"Cine y Televisión,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter"
0849421005399,"Cine y Televisión,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter"
0849421006716,"Cine y Televisión,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
0849421004859,"Cine y Televisión,Manga y Anime,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > One Piece,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
0849421004842,"Cine y Televisión,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter"
0849421004491,"Cine y Televisión,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter"
0889698434782,"Cine y Televisión,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Juegos de mesa,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
0889698434980,"Cine y Televisión,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
0812095022627,"Cine y Televisión,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Funko Pop > Harry Potter,Cine y Televisión > Harry Potter,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras"
4934054901319,"Funko Pop > Star Wars,Cine y Televisión > Star Wars"
0787926130751,"Cine y Televisión,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras,Cine y Televisión > Stranger Things"
5010993387236,"Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Funko Pop > Star Wars,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras,Cine y Televisión > Star Wars"
0787926151237,"Superhéroes > DC,Manga y Anime > Dr. Slump - Arale > Figuras,Manga y Anime > Dragon Ball > Figuras,Manga y Anime > Fullmetal Alchemist > Figuras,Manga y Anime > JOJO'S BIZARRE ADVENTURE > Figuras,Manga y Anime > My Hero Academia > Figuras,Manga y Anime > Naruto > Figuras,Manga y Anime > One Piece > Figuras,Superhéroes"
